Order,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Age,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Misc Val,SalePrice
1,141,31770,6,5,1960,63,639,0,441,1080,1656,0,0,1656,3,7,2,2,528,210,62,0,215000
2,80,11622,5,6,1961,62,468,144,270,882,896,0,0,896,2,5,0,1,730,140,0,0,105000
3,81,14267,6,6,1958,65,923,0,406,1329,1329,0,0,1329,3,6,0,1,312,393,36,12500,172000
4,93,11160,7,5,1968,55,1065,0,1045,2110,2110,0,0,2110,3,8,2,2,522,0,0,0,244000
5,74,13830,5,5,1997,26,791,0,137,928,928,701,0,1629,3,6,1,2,482,212,34,0,189900
6,78,9978,6,6,1998,25,602,0,324,926,926,678,0,1604,3,7,1,2,470,360,36,0,195500
7,41,4920,8,5,2001,22,616,0,722,1338,1338,0,0,1338,2,6,0,2,582,0,0,0,213500
8,43,5005,8,5,1992,31,263,0,1017,1280,1280,0,0,1280,2,5,0,2,506,0,82,0,191500
9,39,5389,8,5,1995,28,1180,0,415,1595,1616,0,0,1616,2,5,1,2,608,237,152,0,236500
10,60,7500,7,5,1999,24,0,0,994,994,1028,776,0,1804,3,7,1,2,442,140,60,0,189000
11,75,10000,6,5,1993,30,0,0,763,763,763,892,0,1655,3,7,1,2,440,157,84,0,175900
12,,7980,6,7,1992,31,935,0,233,1168,1187,0,0,1187,3,6,0,2,420,483,21,500,185000
13,63,8402,6,5,1998,25,0,0,789,789,789,676,0,1465,3,7,1,2,393,0,75,0,180400
14,85,10176,7,5,1990,33,637,0,663,1300,1341,0,0,1341,2,5,1,2,506,192,0,0,171500
15,,6820,8,5,1985,38,368,1120,0,1488,1502,0,0,1502,1,4,0,2,528,0,54,0,212000
16,47,53504,8,5,2003,20,1416,0,234,1650,1690,1589,0,3279,4,12,1,3,841,503,36,0,538000
17,152,12134,8,7,1988,35,427,0,132,559,1080,672,0,1752,4,8,0,2,492,325,12,0,164000
18,88,11394,9,2,2010,13,1445,0,411,1856,1856,0,0,1856,1,8,1,3,834,113,0,0,394432
19,140,19138,4,5,1951,72,120,0,744,864,864,0,0,864,2,4,0,2,400,0,0,0,141000
20,85,13175,6,6,1978,45,790,163,589,1542,2073,0,0,2073,3,7,2,2,500,349,0,0,210000
21,105,11751,6,6,1977,46,705,0,1139,1844,1844,0,0,1844,3,7,1,2,546,0,122,0,190000
22,85,10625,7,6,1974,49,885,168,0,1053,1173,0,0,1173,3,6,2,2,528,0,120,0,170000
23,,7500,7,5,2000,23,533,0,281,814,814,860,0,1674,3,7,0,2,663,0,96,0,216000
24,,11241,6,7,1970,53,578,0,426,1004,1004,0,0,1004,2,5,1,2,480,0,0,700,149000
25,,12537,5,6,1971,52,734,0,344,1078,1078,0,0,1078,3,6,1,2,500,0,0,0,149900
26,65,8450,5,6,1968,55,775,0,281,1056,1056,0,0,1056,3,6,1,1,304,0,85,0,142000
27,70,8400,4,5,1970,53,804,78,0,882,882,0,0,882,2,4,0,2,525,240,0,0,126000
28,70,10500,4,5,1971,52,432,0,432,864,864,0,0,864,3,5,1,0,0,0,0,0,115000
29,26,5858,7,5,1999,24,1051,0,354,1405,1337,0,0,1337,2,5,1,2,511,203,68,0,184000
30,21,1680,6,5,1971,52,156,0,327,483,483,504,0,987,2,5,0,1,264,275,0,0,96000
31,21,1680,5,5,1971,52,300,0,225,525,525,567,0,1092,3,6,0,1,320,0,0,0,105500
32,21,1680,6,5,1971,52,0,0,525,525,525,567,0,1092,3,6,0,1,264,0,0,0,88000
33,53,4043,6,5,1977,46,360,0,709,1069,1069,0,0,1069,2,4,1,2,440,0,55,0,127500
34,24,2280,6,6,1975,48,514,0,341,855,855,601,0,1456,3,6,1,2,440,173,0,0,149900
35,24,2280,7,6,1975,48,0,0,836,836,836,0,0,836,2,4,0,1,308,0,30,0,120000
36,24,2280,6,5,1978,45,311,0,544,855,855,601,0,1456,3,7,1,2,440,26,0,0,146000
